ID,Gender,Brand,Name,Image,Price range,Rating,Option,Price,,,,
10000098,Female,Versace,Versace Bright Crystal,//product.hstatic.net/1000340570/product/versace-bright-crystal_2bfe89a837d84aab98fb209b3a7f11f2_grande.jpg,1.180.000? - 2.680.000?,29,Eau de Toilette 200ml,2.680.000?,,,,
10000100,Female,Versace,Versace Bright Crystal,//product.hstatic.net/1000340570/product/versace-bright-crystal_2bfe89a837d84aab98fb209b3a7f11f2_grande.jpg,1.180.000? - 2.680.000?,29,Eau de Toilette 90ml,1.850.000?,,,,
10000101,Female,Versace,Versace Bright Crystal,//product.hstatic.net/1000340570/product/versace-bright-crystal_2bfe89a837d84aab98fb209b3a7f11f2_grande.jpg,1.180.000? - 2.680.000?,29,Eau de Toilette 50ml,1.450.000?,,,,
10000102,Female,Versace,Versace Bright Crystal,//product.hstatic.net/1000340570/product/versace-bright-crystal_2bfe89a837d84aab98fb209b3a7f11f2_grande.jpg,1.180.000? - 2.680.000?,29,Eau de Toilette 30ml,1.180.000?,,,,
10000103,Female,Versace,Versace Bright Crystal,//product.hstatic.net/1000340570/product/versace-bright-crystal_2bfe89a837d84aab98fb209b3a7f11f2_grande.jpg,1.180.000? - 2.680.000?,29,Eau de Toilette 5ml,320.000?,,,,
10000346,Female,Narciso Rodriguez,Narciso Rodriguez for Her Eau de Parfum,//product.hstatic.net/1000340570/product/narciso-rodriguez-for-her-eau-de-parfum_e67c5a87c3de4f15a3a3e1fea1f71ffd_grande.jpg,1.650.000? - 2.850.000?,27,Eau de Parfum 50ml,2.200.000?,,,,
10000347,Female,Narciso Rodriguez,Narciso Rodriguez for Her Eau de Parfum,//product.hstatic.net/1000340570/product/narciso-rodriguez-for-her-eau-de-parfum_e67c5a87c3de4f15a3a3e1fea1f71ffd_grande.jpg,1.650.000? - 2.850.000?,27,Eau de Parfum 30ml,1.650.000?,,,,
10000349,Female,Narciso Rodriguez,Narciso Rodriguez for Her Eau de Parfum,//product.hstatic.net/1000340570/product/narciso-rodriguez-for-her-eau-de-parfum_e67c5a87c3de4f15a3a3e1fea1f71ffd_grande.jpg,1.650.000? - 2.850.000?,27,Eau de Parfum 100ml,2.850.000?,,,,
10000166,Female,Yves Saint Laurent,Yves Saint Laurent Mon Paris,//product.hstatic.net/1000340570/product/yves-saint-laurent-mon-paris-90ml_c236c9e065504b7da18ff96ed6ac6c9c_grande.jpg,1.880.000? - 2.650.000?,26,Eau de Parfum 50ml,1.880.000?,,,,
10000167,Female,Yves Saint Laurent,Yves Saint Laurent Mon Paris,//product.hstatic.net/1000340570/product/yves-saint-laurent-mon-paris-90ml_c236c9e065504b7da18ff96ed6ac6c9c_grande.jpg,1.880.000? - 2.650.000?,26,Eau de Parfum 90ml,2.650.000?,,,,
10000169,Female,Yves Saint Laurent,Yves Saint Laurent Mon Paris,//product.hstatic.net/1000340570/product/yves-saint-laurent-mon-paris-90ml_c236c9e065504b7da18ff96ed6ac6c9c_grande.jpg,1.880.000? - 2.650.000?,26,Eau de Parfum 7.5ml,450.000?,,,,
10000271,Female,Narciso Rodriguez,Narciso Rodriguez Musc Noir For Her,//product.hstatic.net/1000340570/product/musc-noir-for-her-narciso-rodriguez-100ml_9cc49af12f7e487ebc29bacba9b49c98_grande.jpg,1.650.000? - 2.880.000?,24,Eau de Parfum 50ml,2.280.000?,,,,
10000272,Female,Narciso Rodriguez,Narciso Rodriguez Musc Noir For Her,//product.hstatic.net/1000340570/product/musc-noir-for-her-narciso-rodriguez-100ml_9cc49af12f7e487ebc29bacba9b49c98_grande.jpg,1.650.000? - 2.880.000?,24,Eau de Parfum 30ml,1.650.000?,,,,
10000273,Female,Narciso Rodriguez,Narciso Rodriguez Musc Noir For Her,//product.hstatic.net/1000340570/product/musc-noir-for-her-narciso-rodriguez-100ml_9cc49af12f7e487ebc29bacba9b49c98_grande.jpg,1.650.000? - 2.880.000?,24,Eau de Parfum 100ml,2.880.000?,,,,
10000199,Female,Carolina Herrera,Carolina Herrera Good Girl Eau de Parfum,//product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg,2.200.000? - 2.600.000?,23,Eau de Parfum 50ml,1.950.000?,,,,
10000201,Female,Carolina Herrera,Carolina Herrera Good Girl Eau de Parfum,//product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg,2.200.000? - 2.600.000?,23,Eau de Parfum 80ml,2.600.000?,,,,
10000202,Female,Carolina Herrera,Carolina Herrera Good Girl Eau de Parfum,//product.hstatic.net/1000340570/product/carolina-herrera-good-girl-eau-de-parfum-80ml_3e83d631aecf4d5fbb1fca4e34e383a2_grande.jpg,2.200.000? - 2.600.000?,23,Eau de Parfum 30ml,1.580.000?,,,,
10000059,Female,Carolina Herrera,Carolina Herrera Good Girl Suprême,//product.hstatic.net/1000340570/product/5bd00633e110452da264eddfe4d11924_93aecb289a95406ca30ac1cbb539a14d_grande.jpg,1.750.000? - 2.850.000?,22,Eau de Parfum 80ml,2.850.000?,,,,
10000061,Female,Carolina Herrera,Carolina Herrera Good Girl Suprême,//product.hstatic.net/1000340570/product/5bd00633e110452da264eddfe4d11924_93aecb289a95406ca30ac1cbb539a14d_grande.jpg,1.750.000? - 2.850.000?,22,Eau de Parfum 30ml,1.750.000?,,,,
10000062,Female,Carolina Herrera,Carolina Herrera Good Girl Suprême,//product.hstatic.net/1000340570/product/5bd00633e110452da264eddfe4d11924_93aecb289a95406ca30ac1cbb539a14d_grande.jpg,1.750.000? - 2.850.000?,22,Eau de Parfum 50ml,2.300.000?,,,,
10000120,Female,Jean Paul Gaultier,Jean Paul Gaultier So Scandal!,//product.hstatic.net/1000340570/product/jean-paul-gaultier-so-scandal_30b752f114a1432baa85f52fe2637c0e_grande.jpg,1.750.000? - 2.950.000?,22,Eau de Parfum 80ml,2.950.000?,,,,
10000122,Female,Jean Paul Gaultier,Jean Paul Gaultier So Scandal!,//product.hstatic.net/1000340570/product/jean-paul-gaultier-so-scandal_30b752f114a1432baa85f52fe2637c0e_grande.jpg,1.750.000? - 2.950.000?,22,Eau de Parfum 30ml,1.750.000?,,,,
10000123,Female,Jean Paul Gaultier,Jean Paul Gaultier So Scandal!,//product.hstatic.net/1000340570/product/jean-paul-gaultier-so-scandal_30b752f114a1432baa85f52fe2637c0e_grande.jpg,1.750.000? - 2.950.000?,22,Eau de Parfum 50ml,2.230.000?,,,,
10000148,Female,Calvin Klein,Calvin Klein CK Be,//product.hstatic.net/1000340570/product/calvin-klein-ck-be1_4daeb8bf6f244a05b77241735f4ef9c5_grande.jpg,920.000? - 1.220.000?,22,Eau de Toilette 100ml,920.000?,,,,
10000150,Female,Calvin Klein,Calvin Klein CK Be,//product.hstatic.net/1000340570/product/calvin-klein-ck-be1_4daeb8bf6f244a05b77241735f4ef9c5_grande.jpg,920.000? - 1.220.000?,22,Eau de Toilette 200ml,1.220.000?,,,,
10000219,Female,Marc Jacobs,Marc Jacobs Daisy Dream,//product.hstatic.net/1000340570/product/marc_jacobs_daisy_dream_129e4126f77e4b37af811eb0927d6941_grande.jpg,1.850.000?,22,Eau de Toilette 30ml,1.200.000?,,,,
10000221,Female,Marc Jacobs,Marc Jacobs Daisy Dream,//product.hstatic.net/1000340570/product/marc_jacobs_daisy_dream_129e4126f77e4b37af811eb0927d6941_grande.jpg,1.850.000?,22,Eau de Toilette 50ml,1.500.000?,,,,
10000222,Female,Marc Jacobs,Marc Jacobs Daisy Dream,//product.hstatic.net/1000340570/product/marc_jacobs_daisy_dream_129e4126f77e4b37af811eb0927d6941_grande.jpg,1.850.000?,22,Eau de Toilette 100ml,1.850.000?,,,,
10000804,Female,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 30ml,1.650.000?,,,,
10000805,Female,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 50ml,2.100.000?,,,,
10000807,Female,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 100ml,2.800.000?,,,,
10000808,Female,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 5ml,480.000?,,,,
10000055,Female,Dolce & Gabbana,Dolce & Gabbana Light Blue Eau Intense,//product.hstatic.net/1000340570/product/dolce-_-gabbana-light-blue-eau-intense_55ab0ef58baa4349848a004d766f705f_grande.jpg,1.850.000? - 2.580.000?,21,Eau de Parfum 50ml,1.850.000?,,,,
10000057,Female,Dolce & Gabbana,Dolce & Gabbana Light Blue Eau Intense,//product.hstatic.net/1000340570/product/dolce-_-gabbana-light-blue-eau-intense_55ab0ef58baa4349848a004d766f705f_grande.jpg,1.850.000? - 2.580.000?,21,Eau de Parfum 100ml,2.580.000?,,,,
10000204,Female,Jean Paul Gaultier,Jean Paul Gaultier Scandal,//product.hstatic.net/1000340570/product/jean-paul-gaultier-scandal-80ml_d7f6145d41b047e1a48066c0b17c3ab6_grande.jpg,2.550.000? - 2.850.000?,21,Eau de Parfum 50ml,2.100.000?,,,,
10000205,Female,Jean Paul Gaultier,Jean Paul Gaultier Scandal,//product.hstatic.net/1000340570/product/jean-paul-gaultier-scandal-80ml_d7f6145d41b047e1a48066c0b17c3ab6_grande.jpg,2.550.000? - 2.850.000?,21,Eau de Parfum 80ml,2.850.000?,,,,
10000206,Female,Jean Paul Gaultier,Jean Paul Gaultier Scandal,//product.hstatic.net/1000340570/product/jean-paul-gaultier-scandal-80ml_d7f6145d41b047e1a48066c0b17c3ab6_grande.jpg,2.550.000? - 2.850.000?,21,Eau de Parfum 30ml,1.630.000?,,,,
10000125,Female,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 50ml,1.380.000?,,,,
10000126,Female,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 30ml,1.180.000?,,,,
10000128,Female,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 100ml,1.750.000?,,,,
10000129,Female,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 5ml,380.000?,,,,
10000241,Female,Salvatore Ferragamo,Salvatore Ferragamo Signorina Eau de Parfum,//product.hstatic.net/1000340570/product/salvatore-ferragamo-signorina-eau-de-parfum_6523405912b4421f97ad92f10c89e98d_grande.jpg,1.250.000? - 1.850.000?,20,Eau de Parfum 50ml,1.500.000?,,,,
10000242,Female,Salvatore Ferragamo,Salvatore Ferragamo Signorina Eau de Parfum,//product.hstatic.net/1000340570/product/salvatore-ferragamo-signorina-eau-de-parfum_6523405912b4421f97ad92f10c89e98d_grande.jpg,1.250.000? - 1.850.000?,20,Eau de Parfum 30ml,1.250.000?,,,,
10000243,Female,Salvatore Ferragamo,Salvatore Ferragamo Signorina Eau de Parfum,//product.hstatic.net/1000340570/product/salvatore-ferragamo-signorina-eau-de-parfum_6523405912b4421f97ad92f10c89e98d_grande.jpg,1.250.000? - 1.850.000?,20,Eau de Parfum 100ml,1.850.000?,,,,
10000745,Female,Maison Margiela,Maison Margiela Replica Lazy Sunday Morning,//product.hstatic.net/1000340570/product/maison-margiela-_replica_-lazy-sunday-morning_970ebefe9a524b84bdc4a6fbdb9976f2_grande.jpg,3.250.000?,20,Eau de Toilette 100ml,3.250.000?,,,,
10000855,Female,Narciso Rodriguez,Narciso Rodriguez For Her Collection 4pcs ( 75ml x 4 ),//product.hstatic.net/1000340570/product/narciso-rodriguez-for-her-collection-4pcs-_-7_5ml-x-4-__585411a342fb461992cfdc48d73f33af_grande.jpg,1.680.000?,20,Eau de Parfum 7.5ml Narciso Pure Musc & Narciso Fleur Musc & Narciso For Her EDP & Eau de Toilette 7.5ml Narciso For Her EDT,1.680.000?,,,,
10000051,Female,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 50ml,1.180.000?,,,,
10000052,Female,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 30ml,850.000?,,,,
10000053,Female,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 100ml,1.550.000?,,,,
10000054,Female,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 15ml,480.000?,,,,
10000455,Female,Tom Ford,Tom Ford Black Orchid,//product.hstatic.net/1000340570/product/tom-ford-black-orchid_4af20be652c44080819ea9e7115f7852_grande.jpg,2.900.000? - 3.200.000?,19,Eau de Parfum 100ml,3.200.000?,,,,
10000457,Female,Tom Ford,Tom Ford Black Orchid,//product.hstatic.net/1000340570/product/tom-ford-black-orchid_4af20be652c44080819ea9e7115f7852_grande.jpg,2.900.000? - 3.200.000?,19,Eau de Parfum 50ml,2.450.000?,,,,
10000458,Female,Tom Ford,Tom Ford Black Orchid,//product.hstatic.net/1000340570/product/tom-ford-black-orchid_4af20be652c44080819ea9e7115f7852_grande.jpg,2.900.000? - 3.200.000?,19,Eau de Parfum 30ml,1.780.000?,,,,
10000518,Female,Moschino,Moschino Toy 2 Bubble Gum,//product.hstatic.net/1000340570/product/moschino-toy-2-bubble-gum_9a86a81551934773ad8eaf1c2a45639e_grande.jpg,1.180.000? - 1.850.000?,19,Eau de Toilette 30ml,1.180.000?,,,,
10000519,Female,Moschino,Moschino Toy 2 Bubble Gum,//product.hstatic.net/1000340570/product/moschino-toy-2-bubble-gum_9a86a81551934773ad8eaf1c2a45639e_grande.jpg,1.180.000? - 1.850.000?,19,Eau de Toilette 50ml,1.400.000?,,,,
10000520,Female,Moschino,Moschino Toy 2 Bubble Gum,//product.hstatic.net/1000340570/product/moschino-toy-2-bubble-gum_9a86a81551934773ad8eaf1c2a45639e_grande.jpg,1.180.000? - 1.850.000?,19,Eau de Toilette 100ml,1.850.000?,,,,
10000521,Female,Moschino,Moschino Toy 2 Bubble Gum,//product.hstatic.net/1000340570/product/moschino-toy-2-bubble-gum_9a86a81551934773ad8eaf1c2a45639e_grande.jpg,1.180.000? - 1.850.000?,19,Eau de Toilette 5ml,380.000?,,,,
10000584,Female,Chloe,Chloe Love Story,//product.hstatic.net/1000340570/product/chloe_love_story_d49d10af6d734ee8bd7f814824900b4a_grande.jpg,2.350.000?,19,Eau de Parfum 75ml,2.350.000?,,,,
10000585,Female,Chloe,Chloe Love Story,//product.hstatic.net/1000340570/product/chloe_love_story_d49d10af6d734ee8bd7f814824900b4a_grande.jpg,2.350.000?,19,Eau de Parfum 30ml,1.550.000?,,,,
10000621,Female,Maison Margiela,Maison Margiela Replica Sailing Day,//product.hstatic.net/1000340570/product/maison-margiela-_replica_-sailing-day_7d59b396f0524bd79a6dd5731a6b5278_grande.jpg,3.250.000?,19,Eau de Toilette 100ml,3.250.000?,,,,
10000702,Female,Marc Jacobs,Marc Jacobs Decadence,//product.hstatic.net/1000340570/product/marc-jacobs-decadence_c9064e51d53c433f8da8cef442f5adcc_grande.jpg,2.600.000?,19,Eau de Parfum 50ml,1.900.000?,,,,
10000703,Female,Marc Jacobs,Marc Jacobs Decadence,//product.hstatic.net/1000340570/product/marc-jacobs-decadence_c9064e51d53c433f8da8cef442f5adcc_grande.jpg,2.600.000?,19,Eau de Parfum 30ml,1.600.000?,,,,
